ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:15:57+00:00,20871007,0,0,0.000000,99.50,0.00,118,132
2025-10-30T16:15:58+00:00,20871007,0,0,0.000000,99.02,0.00,191,234
2025-10-30T16:15:59+00:00,20871007,0,0,0.000000,98.53,0.00,152,199
2025-10-30T16:16:00+00:00,20871007,0,0,0.000000,99.02,0.00,159,214
2025-10-30T16:16:01+00:00,20871007,0,0,0.000000,99.50,0.00,146,219
2025-10-30T16:16:02+00:00,20871007,0,0,0.000000,98.54,0.00,189,202
2025-10-30T16:16:03+00:00,20871007,0,0,0.000000,99.50,0.00,165,221
2025-10-30T16:16:04+00:00,20871007,0,0,0.000000,98.54,0.00,176,233
2025-10-30T16:16:05+00:00,20871007,0,0,0.000000,99.50,0.00,151,206
2025-10-30T16:16:06+00:00,20871007,0,0,0.000000,99.01,0.00,158,241
2025-10-30T16:16:07+00:00,20871007,0,0,0.000000,99.51,0.00,160,233
2025-10-30T16:16:08+00:00,20871007,0,0,0.000000,99.01,0.00,165,229
2025-10-30T16:16:09+00:00,20871007,0,0,0.000000,99.01,0.00,160,246
2025-10-30T16:16:10+00:00,20984646,113639,113639,0.113639,97.53,0.00,54480,29733
2025-10-30T16:16:11+00:00,21098830,114184,114184,0.114184,98.76,0.00,52382,29096
2025-10-30T16:16:12+00:00,21212650,113820,113820,0.113820,97.55,0.00,51898,28994
2025-10-30T16:16:13+00:00,21328828,116178,116178,0.116178,98.15,0.00,55364,30144
2025-10-30T16:16:14+00:00,21443136,114308,114308,0.114308,97.55,0.00,51737,28822
2025-10-30T16:16:15+00:00,21558942,115806,115806,0.115806,97.53,0.00,54077,29383
2025-10-30T16:16:16+00:00,21674396,115454,115454,0.115454,98.75,0.00,55674,30318
2025-10-30T16:16:17+00:00,21789782,115386,115386,0.115386,98.14,0.00,54196,29601
2025-10-30T16:16:18+00:00,21905838,116056,116056,0.116056,98.74,0.00,55030,29640
2025-10-30T16:16:19+00:00,22021250,115412,115412,0.115412,97.55,0.00,53587,29289
