ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T16:40:18+00:00,61424388,0,0,0.000000,99.50,0.00,128,152
2025-10-30T16:40:19+00:00,61424388,0,0,0.000000,99.02,0.00,147,232
2025-10-30T16:40:20+00:00,61424388,0,0,0.000000,99.01,0.00,153,236
2025-10-30T16:40:21+00:00,61424388,0,0,0.000000,98.54,0.00,140,212
2025-10-30T16:40:22+00:00,61424388,0,0,0.000000,99.51,0.00,141,209
2025-10-30T16:40:23+00:00,61424388,0,0,0.000000,98.53,0.00,175,224
2025-10-30T16:40:24+00:00,61424388,0,0,0.000000,99.51,0.00,144,210
2025-10-30T16:40:25+00:00,61424388,0,0,0.000000,99.01,0.00,165,191
2025-10-30T16:40:26+00:00,61424388,0,0,0.000000,99.02,0.00,149,226
2025-10-30T16:40:27+00:00,61424388,0,0,0.000000,99.02,0.00,162,211
2025-10-30T16:40:28+00:00,61424388,0,0,0.000000,99.01,0.00,166,214
2025-10-30T16:40:29+00:00,61467247,42859,42859,0.042859,98.41,0.00,21502,20161
2025-10-30T16:40:30+00:00,61552397,85150,85150,0.085150,97.73,0.00,41911,40221
2025-10-30T16:40:31+00:00,61637713,85316,85316,0.085316,98.30,0.00,42061,40783
2025-10-30T16:40:32+00:00,61723151,85438,85438,0.085438,97.74,0.00,42255,40971
2025-10-30T16:40:33+00:00,61808539,85388,85388,0.085388,98.30,0.00,42243,40697
2025-10-30T16:40:34+00:00,61894623,86084,86084,0.086084,98.29,0.00,42811,40976
2025-10-30T16:40:35+00:00,61980363,85740,85740,0.085740,98.29,0.00,42796,40859
2025-10-30T16:40:36+00:00,62066041,85678,85678,0.085678,97.73,0.00,42616,41111
2025-10-30T16:40:37+00:00,62152267,86226,86226,0.086226,97.74,0.00,42867,41315
2025-10-30T16:40:38+00:00,62238769,86502,86502,0.086502,97.74,0.00,43077,41354
2025-10-30T16:40:39+00:00,62324993,86224,86224,0.086224,97.73,0.00,42927,41280
2025-10-30T16:40:40+00:00,62411421,86428,86428,0.086428,98.29,0.00,42671,41019
2025-10-30T16:40:41+00:00,62497353,85932,85932,0.085932,98.84,0.00,42460,40965
2025-10-30T16:40:42+00:00,62582457,85104,85104,0.085104,98.29,0.00,42330,40784
2025-10-30T16:40:43+00:00,62668007,85550,85550,0.085550,98.84,0.00,42307,40633
2025-10-30T16:40:44+00:00,62753855,85848,85848,0.085848,98.29,0.00,42504,40871
2025-10-30T16:40:45+00:00,62839763,85908,85908,0.085908,98.85,0.00,42321,40827
2025-10-30T16:40:46+00:00,62925457,85694,85694,0.085694,97.73,0.00,42561,41088
2025-10-30T16:40:47+00:00,63011897,86440,86440,0.086440,98.29,0.00,42455,40956
2025-10-30T16:40:48+00:00,63097339,85442,85442,0.085442,98.29,0.00,42385,40942
2025-10-30T16:40:49+00:00,63183297,85958,85958,0.085958,99.42,0.00,42234,40577
2025-10-30T16:40:50+00:00,63269155,85858,85858,0.085858,98.29,0.00,42615,41174
2025-10-30T16:40:51+00:00,63355643,86488,86488,0.086488,97.73,0.00,42440,40937
2025-10-30T16:40:52+00:00,63441156,85513,85513,0.085513,98.29,0.00,42385,40870
2025-10-30T16:40:53+00:00,63527415,86259,86259,0.086259,98.85,0.00,42558,40838
2025-10-30T16:40:54+00:00,63612806,85391,85391,0.085391,98.29,0.00,42312,40606
2025-10-30T16:40:55+00:00,63698844,86038,86038,0.086038,98.30,0.00,42482,41072
2025-10-30T16:40:56+00:00,63785230,86386,86386,0.086386,98.30,0.00,42724,41261
2025-10-30T16:40:57+00:00,63871450,86220,86220,0.086220,98.29,0.00,42613,41176
2025-10-30T16:40:58+00:00,63957660,86210,86210,0.086210,97.74,0.00,42656,41234
2025-10-30T16:40:59+00:00,64043786,86126,86126,0.086126,98.30,0.00,42448,41198
2025-10-30T16:41:00+00:00,64130134,86348,86348,0.086348,97.73,0.00,42581,41060
2025-10-30T16:41:01+00:00,64216652,86518,86518,0.086518,98.30,0.00,42679,41128
2025-10-30T16:41:02+00:00,64303112,86460,86460,0.086460,98.29,0.00,42729,41339
2025-10-30T16:41:04+00:00,64387982,84870,84870,0.084870,98.85,0.00,41775,40273
2025-10-30T16:41:05+00:00,64473726,85744,85744,0.085744,97.73,0.00,42480,40707
2025-10-30T16:41:06+00:00,64559842,86116,86116,0.086116,98.29,0.00,42579,40903
2025-10-30T16:41:07+00:00,64644648,84806,84806,0.084806,98.85,0.00,41883,40408
2025-10-30T16:41:08+00:00,64729440,84792,84792,0.084792,98.29,0.00,42195,40650
2025-10-30T16:41:09+00:00,64815060,85620,85620,0.085620,98.29,0.00,42481,40809
2025-10-30T16:41:10+00:00,64901010,85950,85950,0.085950,97.19,0.00,42354,40783
2025-10-30T16:41:11+00:00,64986720,85710,85710,0.085710,98.29,0.00,42302,40810
