ts,rx_packets,delta_rx,pps,mpps,idle_pct,iowait_pct,irq_per_s,softirq_per_s
2025-10-30T17:06:10+00:00,94395116,0,0,0.000000,99.50,0.00,117,127
2025-10-30T17:06:11+00:00,94395116,0,0,0.000000,98.53,0.00,163,224
2025-10-30T17:06:12+00:00,94395116,0,0,0.000000,99.02,0.00,175,250
2025-10-30T17:06:13+00:00,94395116,0,0,0.000000,98.53,0.00,150,212
2025-10-30T17:06:14+00:00,94395116,0,0,0.000000,99.02,0.00,166,222
2025-10-30T17:06:15+00:00,94395116,0,0,0.000000,99.51,0.00,175,219
2025-10-30T17:06:16+00:00,94395116,0,0,0.000000,99.01,0.00,149,222
2025-10-30T17:06:17+00:00,94395116,0,0,0.000000,99.02,0.00,170,244
2025-10-30T17:06:18+00:00,94494684,99568,99568,0.099568,97.81,0.00,29373,23201
2025-10-30T17:06:19+00:00,94608552,113868,113868,0.113868,99.44,0.00,36566,27811
2025-10-30T17:06:20+00:00,94723462,114910,114910,0.114910,98.34,0.00,35069,28389
2025-10-30T17:06:21+00:00,94837836,114374,114374,0.114374,97.28,0.00,34913,28366
2025-10-30T17:06:22+00:00,94952334,114498,114498,0.114498,99.44,0.00,35801,28328
2025-10-30T17:06:23+00:00,95067886,115552,115552,0.115552,98.35,0.00,34313,28500
2025-10-30T17:06:24+00:00,95183384,115498,115498,0.115498,98.34,0.00,34255,28491
2025-10-30T17:06:25+00:00,95299464,116080,116080,0.116080,98.35,0.00,33419,28593
2025-10-30T17:06:26+00:00,95415246,115782,115782,0.115782,98.90,0.00,33124,28418
2025-10-30T17:06:27+00:00,95531036,115790,115790,0.115790,97.81,0.00,32987,28715
2025-10-30T17:06:28+00:00,95646792,115756,115756,0.115756,98.90,0.00,34365,28691
2025-10-30T17:06:29+00:00,95762238,115446,115446,0.115446,98.34,0.00,35293,28686
2025-10-30T17:06:30+00:00,95877506,115268,115268,0.115268,98.90,0.00,34090,28668
2025-10-30T17:06:31+00:00,95993236,115730,115730,0.115730,97.80,0.00,35091,28717
2025-10-30T17:06:32+00:00,96108624,115388,115388,0.115388,98.35,0.00,34622,28642
2025-10-30T17:06:33+00:00,96223514,114890,114890,0.114890,98.35,0.00,31379,27667
2025-10-30T17:06:34+00:00,96338328,114814,114814,0.114814,98.89,0.00,32721,27014
2025-10-30T17:06:35+00:00,96453588,115260,115260,0.115260,98.34,0.00,33331,27649
2025-10-30T17:06:36+00:00,96569070,115482,115482,0.115482,98.35,0.00,34214,28301
2025-10-30T17:06:37+00:00,96685082,116012,116012,0.116012,98.35,0.00,34802,28507
2025-10-30T17:06:38+00:00,96800876,115794,115794,0.115794,97.81,0.00,34187,28383
2025-10-30T17:06:39+00:00,96915954,115078,115078,0.115078,98.90,0.00,32311,28221
2025-10-30T17:06:40+00:00,97030290,114336,114336,0.114336,97.84,0.00,32026,28284
2025-10-30T17:06:41+00:00,97144964,114674,114674,0.114674,98.90,0.00,32248,27933
2025-10-30T17:06:42+00:00,97259828,114864,114864,0.114864,98.34,0.00,32629,27572
2025-10-30T17:06:43+00:00,97375138,115310,115310,0.115310,98.36,0.00,32516,28321
2025-10-30T17:06:44+00:00,97490182,115044,115044,0.115044,98.90,0.00,32737,28330
2025-10-30T17:06:45+00:00,97605372,115190,115190,0.115190,97.81,0.00,32953,28373
2025-10-30T17:06:46+00:00,97720284,114912,114912,0.114912,98.90,0.00,33161,28155
2025-10-30T17:06:47+00:00,97835672,115388,115388,0.115388,98.90,0.00,32305,28473
